f	mic1_L1_mis	mic1_L1_stima	mic1_L2_mis	mic1_L2_stima	mic2_L1_mis	mic2_L1_stima	mic2_L2_mis	mic2_L2_stima
17388.00	1.438929	1.664690	-3.329908	2.686524	-3.579126	-1.146657	1.251085	1.620110
17514.00	1.308603	1.603187	-3.319705	3.078859	-4.800919	-0.439549	1.058398	1.966376
17640.00	1.047484	1.410713	-3.530965	-2.469034	-5.493691	-4.076382	0.611501	1.206831
17766.00	0.783377	1.156402	-4.260945	-3.651462	-5.376696	-2.118802	0.585695	1.026804
17892.00	0.639791	0.944931	-5.229769	-5.294431	-5.006999	-1.763669	0.675994	1.920298
18018.00	0.484359	0.694672	-5.426991	-6.654113	-4.944449	-1.007117	0.216914	0.590641
18144.00	0.208250	0.225294	-4.449985	-4.840491	-5.304160	0.469357	-0.526932	-1.299954
18270.00	-0.062635	0.110170	-3.297232	-9.695077	-5.827532	-5.931307	-0.805703	-0.762100
18396.00	-0.231514	0.074297	-2.744408	-5.110952	-6.071256	-8.272505	-0.923995	-0.533730
18522.00	-0.436728	-0.366670	-2.975380	-2.876401	-5.880784	-14.850366	-1.524300	-2.506493
18648.00	-0.752385	-0.609938	-3.886804	-5.635081	-5.549664	-15.075022	-2.179913	-6.214496
18774.00	-0.980470	-2.238314	-5.067663	5.529241	-5.425684	-0.581682	-2.176380	-4.323388
18900.00	-0.984281	-2.338449	-5.819470	4.015340	-5.566137	2.446323	-2.059602	-5.673600
19026.00	-0.950209	-1.819958	-5.818582	3.299185	-5.727676	3.504857	-2.353335	-4.547112
19152.00	-1.021245	-1.656556	-5.478345	2.838657	-5.629693	4.667856	-2.548913	-9.882088
19278.00	-1.072674	-1.680564	-5.217826	4.862980	-5.292429	6.693886	-2.239162	-10.896107
19404.00	-1.016759	-0.872361	-5.087766	4.067176	-5.011318	4.551142	-1.983736	-9.077736
19530.00	-1.026600	-0.988603	-5.058021	1.932626	-5.076748	4.621569	-2.157735	-11.830096
19656.00	-1.238965	-2.916828	-5.196071	1.379399	-5.601387	0.714651	-2.454279	-13.472728
19782.00	-1.498687	-6.213667	-5.627240	2.531485	-6.519219	-0.629248	-2.467181	-11.356430
19908.00	-1.564929	-8.569196	-6.353763	1.437313	-7.539471	1.716387	-2.258495	-8.469574
20034.00	-1.470947	-12.165238	-7.018716	-3.074681	-8.217355	-1.023524	-2.062297	-12.169935
20160.00	-1.373836	-17.274996	-7.032738	-7.712581	-8.406184	-6.812855	-1.943529	-20.063033
20286.00	-1.244661	-27.526972	-6.346328	-16.521991	-8.455691	-17.213446	-1.854205	-26.039436
20412.00	-0.984208	-31.447501	-5.592437	-18.445184	-8.723280	-32.665344	-1.727822	-28.940514
20538.00	-0.695285	-39.071814	-5.268578	-21.977411	-9.220794	-26.255380	-1.554432	-29.394085
20664.00	-0.520038	-27.505807	-5.507258	-24.279001	-9.688526	-19.380496	-1.416466	-25.807724
20790.00	-0.445496	-24.053568	-6.357962	-16.313929	-9.641078	-22.122374	-1.425657	-23.714343
20916.00	-0.268219	-17.444688	-7.383152	-16.865504	-9.224611	-16.057334	-1.513240	-19.989265
21042.00	0.102165	-20.330851	-7.417623	-15.650552	-8.729703	-11.883138	-1.618666	-22.761107
21168.00	0.519408	-29.102274	-7.503671	-20.130172	-7.837033	-19.843165	-1.742207	-31.493274
21294.00	0.753279	-21.861985	-8.840309	-18.781171	-7.660684	-13.881399	-2.008284	-25.881014
21420.00	0.754246	-18.013399	-7.998199	-10.395451	-7.901517	-18.303078	-2.157878	-22.641164
21546.00	0.573487	-23.121255	-13.048444	-13.090813	-9.682774	-23.706684	-2.342284	-30.282903
21672.00	0.425179	-14.693560	-9.389023	-4.117917	-11.195766	-10.533526	-2.479059	-19.427141
21798.00	0.268671	-13.637392	-12.761366	-2.650790	-13.869554	-5.631468	-3.098861	-17.354820
21924.00	-0.039074	-19.336802	-7.699013	-4.286711	-19.634201	-3.068191	-3.110361	-19.067867
22050.00	0.270360	-29.800789	-12.772331	-10.467210	-30.032312	-1.738656	-3.429129	-18.345067
