n	mic1_L1_mis	mic1_L1_stima	mic1_L2_mis	mic1_L2_stima	mic2_L1_mis	mic2_L1_stima	mic2_L2_mis	mic2_L2_stima
202	0.000008	0.010922	0.000175	0.006451	-0.000553	-0.011087	0.000180	0.004427
203	0.001324	0.008275	-0.000543	0.005297	-0.001781	0.027530	-0.000010	0.003611
204	0.000122	0.007747	0.000423	0.004526	-0.000621	0.014916	0.000251	0.001119
205	-0.000693	0.004180	-0.000750	0.027176	0.001653	0.035059	-0.000040	0.007245
206	-0.000761	0.001429	0.000637	0.020268	0.000708	0.022680	0.000264	0.001515
207	0.000992	0.000508	-0.001002	0.028823	-0.001291	0.037099	-0.000049	0.010102
208	0.000870	-0.002113	0.000833	0.030037	-0.001645	0.032920	0.000251	0.005671
209	-0.000139	0.004137	-0.001240	0.032926	0.000753	0.046007	-0.000040	0.004014
210	-0.001108	-0.002691	0.001121	0.037189	0.001565	0.035887	0.000248	0.008317
211	0.000331	0.003447	-0.001450	0.032692	-0.000137	0.013614	-0.000069	0.000242
212	0.000981	0.000588	0.001340	0.023244	-0.001917	0.016408	0.000298	0.010114
213	0.000694	0.006413	-0.001579	0.031741	-0.000563	-0.014097	-0.000084	0.002332
214	-0.000959	0.004801	0.001592	0.026788	0.001608	0.015474	0.000307	0.008081
215	-0.000515	0.006783	-0.001773	0.004051	0.001043	0.012285	-0.000068	0.001528
216	0.000665	0.008386	0.001961	0.009011	-0.001103	-0.005405	0.000289	0.006363
217	0.001243	0.007951	-0.002015	-0.000250	-0.001758	-0.003466	-0.000152	0.004391
218	-0.000366	0.009882	0.001994	-0.019398	0.000771	-0.014987	0.000303	0.003921
219	-0.000829	0.005459	-0.002016	-0.001427	0.001642	-0.012627	-0.000214	0.005935
220	-0.000205	0.006801	0.002153	-0.049641	0.000362	-0.005633	0.000272	0.001313
221	0.001269	0.007780	-0.002166	-0.005854	-0.002030	0.015718	-0.000212	0.003397
222	0.000507	-0.001408	0.002367	-0.024201	-0.000346	0.002302	0.000209	0.000132
